STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,TOTAL_PROFIT,USD_per_student,USD_PROFIT_per_student,CAPOUT_RATIO,STUDENT_REV_RANK,STUDENT_PROFIT_RANK,CAPOUT_RATIO_RANK,RANK_SUM
Maryland,2007,851640.0,11674965,661677,4684827,6328461,11541225,6031042,3503877,474728.0,1170502,133740,13708.803015358602,157.03818514865435,0.10469466909609165,12.0,18.0,28.0,58.0
Massachusetts,2007,945070.0,14407777,754202,6485380,7168195,14315518,8053653,4248353,422102.0,951016,92259,15245.195593977165,97.6213402181849,0.06954350103150801,8.0,22.0,7.0,37.0
Michigan,2007,1686473.0,20576110,1541818,11383198,7651094,19839838,9608836,6721838,871870.0,1629007,736272,12200.675611171955,436.57502966249683,0.08650413340887322,17.0,6.0,15.0,38.0
Minnesota,2007,810104.0,9693509,546297,6267386,2879826,10030105,5048143,2405182,730882.0,1074228,-336596,11965.758717399247,-415.4972694863869,0.11602695271933107,18.0,44.0,32.0,94.0
Mississippi,2007,494135.0,4220926,712846,2214700,1293380,4158733,2160396,1296685,251539.0,379581,62193,8542.050249425763,125.86236554787659,0.09284792993299498,48.0,20.0,19.0,87.0
Missouri,2007,910142.0,8908844,730811,3641310,4536723,9245525,4743390,2738098,485391.0,925265,-336681,9788.411039156526,-369.9213968809263,0.10405420784908566,38.0,43.0,27.0,108.0
Montana,2007,144258.0,1474306,190631,702476,581199,1442434,793711,463422,58824.0,100592,31872,10219.925411415657,220.93748700245393,0.07101201582154941,31.0,13.0,8.0,52.0
Nebraska,2007,287135.0,3234014,298196,992032,1943786,3117931,1673992,845739,131267.0,378827,116083,11263.043516116113,404.2802166228429,0.1250326338979974,23.0,8.0,35.0,66.0
Nevada,2007,422782.0,4006081,277849,2266751,1461481,4346371,2047045,1216122,139918.0,731227,-340290,9475.524028932168,-804.8828947306176,0.17686788031478998,42.0,49.0,49.0,140.0
New Hampshire,2007,198625.0,2600123,137058,936882,1526183,2608190,1395619,733978,70608.0,208008,-8067,13090.612964128382,-40.61422278162366,0.08637441953847105,15.0,30.0,14.0,59.0
New Jersey,2007,1363804.0,25293076,991769,10101279,14200028,25572112,13250745,8316185,868012.0,1997462,-279036,18545.97581470651,-204.6012476866177,0.08175462390029241,3.0,37.0,11.0,51.0
New Mexico,2007,327816.0,3272953,444466,2360542,467945,3279467,1610295,1103097,119933.0,396529,-6514,9984.116089513629,-19.870903189594163,0.12276994563840966,36.0,28.0,34.0,98.0
New York,2007,2754976.0,50762544,3269310,22845772,24647462,51253984,31465706,12638159,1318628.0,4216048,-491440,18425.766322465242,-178.38267919575344,0.08493497018778211,4.0,35.0,12.0,51.0
North Carolina,2007,1416028.0,13063307,1184934,7481148,4397225,12794086,6987589,3582953,642597.0,1166854,269221,9225.316872265237,190.12406534334067,0.09425320353573706,45.0,17.0,22.0,84.0
North Dakota,2007,96577.0,1045678,150165,355662,539851,1042175,523778,283833,69691.0,90844,3503,10827.401969413007,36.2715760481274,0.09383295494687785,26.0,24.0,20.0,70.0
Ohio,2007,1758645.0,22142424,1461326,9341723,11339375,21336580,10202242,6930905,876199.0,2595974,805844,12590.61607089549,458.2186854083684,0.12598561924784474,16.0,4.0,36.0,56.0
Oklahoma,2007,639032.0,5491931,650579,2782356,2058996,5505213,2688963,1732136,526547.0,502002,-13282,8594.140825498567,-20.78456164949486,0.09211640825242291,47.0,29.0,18.0,94.0
Oregon,2007,559643.0,5648586,526411,2908595,2213580,5634955,2999104,1908603,199410.0,293730,13631,10093.195126178653,24.35659876028111,0.054385913913132515,34.0,25.0,5.0,64.0
Pennsylvania,2007,1760451.0,25334577,1821479,8593421,14919677,25627083,11994620,7333616,1022492.0,2533079,-292506,14390.958339652736,-166.15401394301801,0.1106930765497192,10.0,33.0,31.0,74.0
Rhode Island,2007,147861.0,2100679,165167,817792,1117720,2082332,1177636,731694,85397.0,20234,18347,14207.120200729063,124.0827533967713,0.010041881703913872,11.0,21.0,1.0,33.0
South Carolina,2007,701580.0,7130274,680718,3120416,3329140,7660995,3481608,2157719,384965.0,1290372,-530721,10163.165996750193,-756.4654066535534,0.1764089232260019,32.0,47.0,48.0,127.0
South Dakota,2007,121158.0,1136570,174096,371645,590829,1096568,573916,335382,50283.0,105370,40002,9380.8910678618,330.1639181894716,0.09894351946709286,43.0,10.0,25.0,78.0
Tennessee,2007,978084.0,7617488,805633,3342186,3469669,7817659,4473035,2144367,414587.0,593354,-200171,7788.173612900324,-204.65624629377436,0.07781341770461997,49.0,38.0,10.0,97.0
