STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,TOTAL_PROFIT,USD_per_student,USD_PROFIT_per_student,CAPOUT_RATIO,STUDENT_REV_RANK,STUDENT_PROFIT_RANK,CAPOUT_RATIO_RANK,RANK_SUM
Iowa,1996,502343.0,3258040,147878,1486426,1623736,3284185,1679091,931857,134624.0,242065,-26145,6485.688065724017,-52.04611191954501,0.08102222592637592,23.0,20.0,16.0,59.0
Kansas,1996,463008.0,2914544,140242,1658774,1115528,3007653,1468081,906796,169091.0,318829,-93109,6294.802681595134,-201.0958773930472,0.11136975482369166,27.0,32.0,37.0,96.0
Kentucky,1996,639531.0,3622788,305059,2272684,1045045,3826435,1970377,1139539,228647.0,413638,-203647,5664.757455072546,-318.4317882948598,0.11023876386153088,37.0,46.0,35.0,118.0
Louisiana,1996,796087.0,3879633,468363,1978056,1433214,3815375,2078321,1117936,299287.0,236616,64258,4873.3781609296475,80.71730853537365,0.06339921118065678,45.0,11.0,9.0,65.0
Maine,1996,213601.0,1485138,78626,647382,759130,1465093,857253,398040,63537.0,62645,20045,6952.860707580957,93.8431936180074,0.04534645940027869,15.0,10.0,4.0,29.0
Maryland,1996,805544.0,5688918,271806,2163187,3253925,5825606,3197895,1856055,251330.0,449601,-136688,7062.2064095815995,-169.68408926141836,0.07812516019010646,14.0,29.0,14.0,57.0
Massachusetts,1996,912330.0,7129757,302167,3028094,3799496,7479576,4171772,1953199,221882.0,360126,-349819,7814.888253154012,-383.4347220852104,0.05369421911116764,10.0,49.0,7.0,66.0
Michigan,1996,1631131.0,13012080,648922,8462687,3900471,13071893,6452165,4205956,691888.0,919074,-59813,7977.3359711758285,-36.66964823794042,0.07490975486921068,8.0,17.0,12.0,37.0
Minnesota,1996,827418.0,6101416,241241,3435468,2424707,6423285,3204906,1522656,551475.0,762106,-321869,7374.043107594952,-389.0041067513639,0.12615261714546402,12.0,50.0,40.0,102.0
Mississippi,1996,503602.0,2241561,295014,1285429,661118,2268726,1238512,599427,166353.0,231093,-27165,4451.056588337616,-53.94140611038082,0.1033795073331887,50.0,21.0,29.0,100.0
Missouri,1996,873867.0,5251014,324566,2536393,2390055,5277785,2745318,1521493,283616.0,568575,-26771,6008.939575473156,-30.63509664514165,0.11107145494375661,30.0,16.0,36.0,82.0
Montana,1996,165390.0,944623,90354,452250,402019,924259,538091,289907,37370.0,48074,20364,5711.487998065179,123.12715399963722,0.05262950466477346,36.0,9.0,5.0,50.0
Nebraska,1996,289251.0,1909834,100886,574359,1234589,1940808,1067391,497288,71038.0,247543,-30974,6602.687631157714,-107.08346730002663,0.1314438792306957,21.0,24.0,41.0,86.0
Nevada,1996,265041.0,1551169,67278,997400,486491,1608989,767237,483238,53033.0,229949,-57820,5852.562433736667,-218.15492697356257,0.1499546449623302,34.0,36.0,48.0,118.0
New Hampshire,1996,191004.0,1269380,40622,84837,1143921,1295106,725549,340457,42174.0,97166,-25726,6645.829406713996,-134.688278779502,0.0806125378107199,17.0,28.0,15.0,60.0
New Jersey,1996,1193928.0,12389781,408872,4589725,7391184,12469216,6636622,4099193,469558.0,753213,-79435,10377.326773473776,-66.53248772120261,0.06298512215407406,1.0,22.0,8.0,31.0
New Mexico,1996,329661.0,1750519,215525,1281567,253427,1642517,798365,519816,81877.0,218014,108002,5310.057907972129,327.6153381807372,0.13473689675119524,42.0,2.0,44.0,88.0
New York,1996,2788343.0,26026366,1510447,10284155,14231764,26974514,15973623,6953428,942356.0,1835923,-948148,9333.990115276349,-340.039944870484,0.07142188020927956,4.0,48.0,10.0,62.0
North Carolina,1996,1181600.0,6516400,443121,3971818,2101461,6517111,3527936,1780725,402269.0,687268,-711,5514.895057549086,-0.6017264725795531,0.10741586928069434,39.0,13.0,32.0,84.0
North Dakota,1996,119102.0,655971,69370,267306,319295,657809,338326,169545,52456.0,52160,-1838,5507.640509815116,-15.43215059360884,0.08516099117205753,40.0,14.0,21.0,75.0
Ohio,1996,1837628.0,12172778,704629,4831397,6636752,11935582,6291682,4046180,532065.0,843253,237196,6624.179648982275,129.07726699854376,0.07199180751939269,19.0,8.0,11.0,38.0
Oklahoma,1996,616436.0,3185234,278281,1856294,1050659,3195426,1640558,948125,299920.0,255103,-10192,5167.177127877022,-16.533752084563524,0.08114721923742232,44.0,15.0,17.0,76.0
Oregon,1996,527769.0,3375710,192228,1822648,1360834,3509765,1879638,1104418,116224.0,305484,-134055,6396.188483976892,-254.00317184222644,0.0896961738981327,25.0,41.0,23.0,89.0
Pennsylvania,1996,1764117.0,14671368,760182,5629751,8281435,15048791,7960931,4101534,580399.0,1195395,-377423,8316.550432879452,-213.94442658848592,0.08638333767275204,7.0,35.0,22.0,64.0
Rhode Island,1996,148977.0,1135192,57826,459171,618195,1092459,699778,321959,24931.0,20181,42733,7619.914483443753,286.84293548668586,0.018916453968649733,11.0,4.0,1.0,16.0
South Carolina,1996,635678.0,3594408,287181,1870037,1437190,3493720,1820849,986157,235742.0,367884,100688,5654.447692070514,158.39465893109406,0.10786387977360208,38.0,6.0,33.0,77.0
South Dakota,1996,136394.0,710728,67493,209375,433860,689818,383377,201190,32183.0,56451,20910,5210.845051835125,153.3058638943062,0.08385459914646591,43.0,7.0,20.0,70.0
Tennessee,1996,881749.0,4123018,340239,1967170,1815609,4284181,2363545,1143373,229847.0,460149,-161163,4675.95426816475,-182.77650442472859,0.10963984489555897,47.0,31.0,34.0,112.0
Texas,1996,3740260.0,22241369,1613462,9834742,10793165,22401797,11427564,6131290,1174475.0,2667181,-160428,5946.47671552245,-42.89220535470796,0.12463165597455388,31.0,18.0,39.0,88.0
Utah,1996,474907.0,2035726,134703,1197910,703113,2150719,1132806,471430,153581.0,342609,-114993,4286.578214260898,-242.13793437451963,0.1631140540061873,51.0,39.0,50.0,140.0
Vermont,1996,101064.0,965238,36693,215657,712888,975817,424562,219243,23167.0,56478,-10579,9550.759914509617,-104.67624475579831,0.07806759278457391,2.0,23.0,13.0,38.0
Virginia,1996,1079854.0,6674519,361726,2548036,3764757,6903384,3601237,2045400,347988.0,721139,-228865,6180.94575748203,-211.9406882782302,0.10738003896503807,29.0,34.0,31.0,94.0
Washington,1996,956572.0,6354593,366716,4288899,1698978,6578388,3222598,1927517,280214.0,895494,-223795,6643.08907222875,-233.95520671731975,0.14156165924971342,18.0,38.0,45.0,101.0
West Virginia,1996,306451.0,1958647,158572,1222505,577570,1936848,1131846,556873,130467.0,101350,21799,6391.387203827039,71.13372121481085,0.05277172622642846,26.0,12.0,6.0,44.0
Wisconsin,1996,869930.0,6342623,270455,2869875,3202293,6521058,3567663,1872074,212389.0,617334,-178435,7290.957893163818,-205.114204591174,0.09846685360461667,13.0,33.0,27.0,73.0
Wyoming,1996,99859.0,664057,41007,339629,283421,676305,360100,200228,21910.0,78444,-12248,6649.946424458486,-122.6529406463113,0.1187318558701463,16.0,26.0,38.0,80.0
Alabama,1997,737386.0,3981788,376200,2498847,1106741,3963624,2095904,1075352,323955.0,420070,18164,5399.869267927517,24.63296021351097,0.10728987268091358,44.0,19.0,28.0,91.0
Alaska,1997,128143.0,1131950,145563,692364,294023,1237103,651935,372788,40973.0,152330,-105153,8833.49070959787,-820.5910584269137,0.1250630117912097,6.0,51.0,39.0,96.0
Arizona,1997,783552.0,4343262,405291,1907516,2030455,4432360,1977550,1252277,265183.0,678793,-89098,5543.042452830188,-113.71038552642327,0.16263177730237868,41.0,28.0,50.0,119.0
Arkansas,1997,457349.0,2355859,218137,1387107,750615,2379496,1291727,667439,158337.0,192204,-23637,5151.118729897737,-51.68263186319419,0.08321574987649949,46.0,22.0,12.0,80.0
California,1997,5595836.0,35614934,2850766,20560730,12203438,33862281,18160435,10040400,1792979.0,3088674,1752653,6364.542134544329,313.20664150986556,0.09336280874642802,30.0,3.0,19.0,52.0
Colorado,1997,672634.0,4133275,205038,1784304,2143933,4398196,2188731,1205308,154175.0,678631,-264921,6144.909415819004,-393.8560941016957,0.16055261075341065,32.0,44.0,49.0,125.0
Connecticut,1997,507838.0,4788489,158453,1719703,2910333,4642835,2709106,1368262,164857.0,194220,145654,9429.166387706317,286.8119360898554,0.04377829545954024,4.0,4.0,2.0,10.0
Delaware,1997,110245.0,898926,56722,575855,266349,889631,486550,265674,39021.0,73946,9295,8153.893600616808,84.312213705837,0.08546783311430656,10.0,13.0,15.0,38.0
District of Columbia,1997,78648.0,711625,73177,0,638448,686059,337401,272058,23494.0,53106,25566,9048.227545519276,325.06866036008546,0.07740733668678641,5.0,2.0,11.0,18.0
Florida,1997,2241298.0,14363709,992226,7022561,6348922,14564750,6725833,4370182,1040190.0,2111449,-201041,6408.656501723555,-89.6984693690888,0.1481962574329781,29.0,26.0,48.0,103.0
Georgia,1997,1346761.0,8248199,534963,4471781,3241455,8483477,4504165,2274539,485635.0,1056516,-235278,6124.471231346913,-174.6991485497427,0.12697204794459224,33.0,34.0,40.0,107.0
Hawaii,1997,187653.0,1213792,95795,1088410,29587,1241375,685225,326596,105850.0,123704,-27583,6468.2792174918595,-146.9893899911006,0.09965079045413353,27.0,30.0,23.0,80.0
Idaho,1997,245252.0,1200186,80754,747250,372182,1293705,680063,353044,51999.0,178703,-93519,4893.684862916511,-381.3179912905909,0.14140032235883745,49.0,43.0,47.0,139.0
Illinois,1997,1952892.0,13929105,847818,4532935,8548352,13920593,6881301,4240388,527869.0,1598074,8512,7132.552645000338,4.358663971177106,0.12063091728393421,17.0,21.0,35.0,73.0
Indiana,1997,981546.0,7885141,305125,3783388,3796628,7325086,3630591,2029513,335709.0,667028,560055,8033.389163625546,570.5845676106876,0.10011164906981872,11.0,1.0,24.0,36.0
Iowa,1997,502941.0,3406582,153160,1646498,1606924,3485339,1752717,983324,142001.0,295558,-78757,6773.323312277185,-156.5929204419604,0.09313019914292917,22.0,33.0,18.0,73.0
Kansas,1997,466368.0,3029537,152455,1682302,1194780,2949608,1476664,959322,180594.0,188156,79929,6496.022454370797,171.38611568546727,0.06708510177071925,26.0,6.0,7.0,39.0
Kentucky,1997,631592.0,3842885,341901,2381664,1119320,3903139,2120583,1133417,242137.0,324367,-60254,6084.442171528455,-95.40019506263538,0.08490162554469254,34.0,27.0,14.0,75.0
Louisiana,1997,808798.0,4106095,478008,2087903,1540184,4027228,2205048,1176952,303024.0,249895,78867,5076.786787306596,97.51136872247459,0.06350702517637594,47.0,12.0,6.0,65.0
Maine,1997,213241.0,1537085,74503,669487,793095,1527663,906697,405474,59141.0,71625,9422,7208.205739046431,44.18474871155172,0.04963834179870639,16.0,15.0,3.0,34.0
Maryland,1997,818583.0,6040883,292260,2343928,3404695,6217120,3359984,1893583,289761.0,592725,-176237,7379.682939909575,-215.29521135914135,0.09659711218270116,15.0,36.0,21.0,72.0
Massachusetts,1997,928519.0,7585624,337880,3341044,3906700,7479407,4469869,2024501,239732.0,439273,106217,8169.594806352912,114.39399732261806,0.0612365866833952,8.0,9.0,4.0,21.0
Michigan,1997,1684261.0,13759710,806713,8728340,4224657,14235902,6777568,4401535,649063.0,1478950,-476192,8169.582980310059,-282.73052691952137,0.11113978415758907,9.0,38.0,30.0,77.0
Minnesota,1997,837847.0,6304977,251210,3321859,2731908,6890773,3461407,1641569,585789.0,799154,-585796,7525.212837188651,-699.1682252248919,0.12317570549200753,14.0,49.0,36.0,99.0
Mississippi,1997,503979.0,2274700,305516,1253204,715980,2319324,1242701,629587,167473.0,244101,-44624,4513.481712531673,-88.54337184684283,0.10688080102913398,51.0,25.0,27.0,103.0
Missouri,1997,899750.0,5550134,336452,2695581,2518101,5527705,2906899,1589440,310482.0,552305,22429,6168.529035843289,24.928035565434843,0.10305878234622586,31.0,18.0,25.0,74.0
Montana,1997,164464.0,989991,90565,465343,434083,972059,557840,303522,39685.0,59716,17932,6019.4997081428155,109.03297986185427,0.06215476657614833,38.0,11.0,5.0,54.0
Nebraska,1997,290883.0,1994021,115783,630765,1247473,1946725,1081994,515148,77333.0,213672,47296,6855.062000873203,162.59458270163606,0.11316491777388095,19.0,7.0,31.0,57.0
Nevada,1997,282131.0,1701290,68131,1089122,544037,1905940,858110,526090,57372.0,369529,-204650,6030.142026221862,-725.3722561505116,0.20403555627212397,37.0,50.0,51.0,138.0
New Hampshire,1997,193524.0,1339186,44339,94550,1200297,1431472,758383,363154,43136.0,169477,-92286,6919.99958661458,-476.87108575680537,0.1270299441592025,18.0,46.0,41.0,105.0
New Jersey,1997,1216721.0,12910890,427260,4799701,7683929,13242022,7106433,4171762,496433.0,938533,-331132,10611.216540192863,-272.1511340726428,0.07382373274435838,1.0,37.0,9.0,47.0
New Mexico,1997,332849.0,1768148,231271,1287163,249714,1826524,884961,575080,90233.0,249670,-58376,5312.162572217432,-175.3828312538118,0.13870987097376364,45.0,35.0,45.0,125.0
New York,1997,2818497.0,26775074,1446691,10477889,14850494,28227561,16259479,7136050,933478.0,2561130,-1452487,9499.770267628455,-515.340977833221,0.095244215379044,3.0,47.0,20.0,70.0
North Carolina,1997,1208695.0,6827952,471258,4258017,2098677,7007690,3704935,1869526,436235.0,848228,-179738,5649.028084007959,-148.7041809554933,0.12366779395718629,40.0,31.0,37.0,108.0
North Dakota,1997,118433.0,683331,75316,270361,337654,679692,351542,177522,52363.0,47992,3639,5769.768561127388,30.72623339778609,0.07624809546581848,39.0,17.0,10.0,66.0
Ohio,1997,1844245.0,12630491,728751,5124101,6777639,12421963,6449340,4011117,636681.0,1075506,208528,6848.597122399681,113.06957589691174,0.08835434602375622,20.0,10.0,16.0,46.0
Oklahoma,1997,620695.0,3413742,278209,1974522,1161011,3390894,1739943,1013092,317185.0,282622,22848,5499.870306672359,36.81034968865546,0.08429326523588049,43.0,16.0,13.0,72.0
Oregon,1997,537675.0,3477420,191660,1826329,1459431,3792572,1992346,1156521,127783.0,395441,-315152,6467.51290277584,-586.1384665457758,0.10768823539503787,28.0,48.0,29.0,105.0
Pennsylvania,1997,1781383.0,15184431,781493,5695856,8707082,15777276,8216134,4229482,598223.0,1400173,-592845,8523.956386695056,-332.80041406031154,0.09693795601942175,7.0,40.0,22.0,69.0
Rhode Island,1997,150433.0,1185534,63214,470876,651444,1175638,740878,336147,47227.0,21853,9896,7880.810726369879,65.78343847427094,0.019067188433869498,12.0,14.0,1.0,27.0
South Carolina,1997,641925.0,3874045,303240,2027332,1543473,3921465,1958816,1110236,246858.0,509633,-47420,6035.043034622425,-73.87155820384001,0.1332184738218862,35.0,23.0,43.0,101.0
South Dakota,1997,135601.0,747462,70568,265354,411540,711052,390953,206419,33050.0,63192,36410,5512.215986607768,268.5083443337439,0.09110542751443887,42.0,5.0,17.0,64.0
Tennessee,1997,886517.0,4390879,359191,2114799,1916889,4695409,2656651,1222265,248981.0,479484,-304530,4952.955216876834,-343.5128711575751,0.10406866721028715,48.0,41.0,26.0,115.0
Texas,1997,3826366.0,23091567,1688975,9878849,11523743,23671010,12038459,6338637,1153593.0,3147085,-579443,6034.855787449502,-151.4342851677022,0.13877398196136886,36.0,32.0,46.0,114.0
Utah,1997,479812.0,2187279,140044,1367806,679429,2178778,1176955,504640,160763.0,282827,8501,4558.616708210716,17.717355964419397,0.13308347273296206,50.0,20.0,42.0,112.0
Vermont,1997,101584.0,1022546,37631,232557,752358,1069297,461439,229220,25761.0,96165,-46751,10066.014332965822,-460.2201134036856,0.11834454241710098,2.0,45.0,34.0,81.0
Virginia,1997,1096279.0,7345090,356767,2938616,4049707,7436340,3852814,2154066,383787.0,831898,-91250,6700.018882054659,-83.23611051566253,0.11518041028360423,24.0,24.0,33.0,81.0
Washington,1997,974504.0,6667626,388123,4443435,1836068,6792261,3356299,1986859,293323.0,897137,-124635,6842.071453785721,-127.8958321361431,0.1373109049228161,21.0,29.0,44.0,94.0
West Virginia,1997,303441.0,2053981,170220,1286247,597514,2018185,1131889,586187,140495.0,144209,35796,6768.963324006973,117.96691943409098,0.07200441386472803,23.0,8.0,8.0,39.0
Wisconsin,1997,879021.0,6724752,288586,3681682,2754484,6990489,3747953,1988121,226505.0,761190,-265737,7650.274566819223,-302.3101837157474,0.11320882677557781,13.0,39.0,32.0,84.0
